country,authority_name,info,vaccine_brand_name,single_or_combination,pathogen_name,manufacturer,website
United States,FDA,"The U.S. Food and Drug Administration's Center for Biologics Evaluation and Research (CBER) regulates vaccines in the United States.",Comirnaty,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Pfizer Inc.,https://www.fda.gov
United States,FDA,"The U.S. Food and Drug Administration's Center for Biologics Evaluation and Research (CBER) regulates vaccines in the United States.",Spikevax,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Moderna Inc.,https://www.fda.gov
United States,FDA,Center for Biologics Evaluation and Research regulates vaccines.,Prevnar 20,Single Pathogen Vaccine,Pneumococcal Disease,Pfizer Inc.,https://www.fda.gov
United States,FDA,Center for Biologics Evaluation and Research regulates vaccines.,Gardasil 9,Single Pathogen Vaccine,Human Papillomavirus (HPV),Merck & Co.,https://www.fda.gov
United States,FDA,Center for Biologics Evaluation and Research regulates vaccines.,MMR II,Combination Vaccine,"Measles, Mumps, Rubella",Merck & Co.,https://www.fda.gov
United States,FDA,Center for Biologics Evaluation and Research regulates vaccines.,Shingrix,Single Pathogen Vaccine,Herpes Zoster (Shingles),GlaxoSmithKline,https://www.fda.gov
United States,FDA,Center for Biologics Evaluation and Research regulates vaccines.,Fluarix Quadrivalent,Single Pathogen Vaccine,Influenza,GlaxoSmithKline,https://www.fda.gov
United States,FDA,Center for Biologics Evaluation and Research regulates vaccines.,FLUAD,Single Pathogen Vaccine,Influenza,Johnson & Johnson,https://www.fda.gov
European Union,EMA,"The European Medicines Agency evaluates and approves vaccines for use across European Union member states.",Vaxzevria,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),AstraZeneca,https://www.ema.europa.eu
European Union,EMA,European Medicines Agency regulates medicines in the EU.,Comirnaty,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Pfizer Inc.,https://www.ema.europa.eu
European Union,EMA,European Medicines Agency regulates medicines in the EU.,Spikevax,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Moderna Inc.,https://www.ema.europa.eu
European Union,EMA,European Medicines Agency regulates medicines in the EU.,Rabipur,Single Pathogen Vaccine,Rabies,Bharat Biotech,https://www.ema.europa.eu
International,WHO (Prequalification),"WHO Prequalification program assesses quality, safety, and efficacy of vaccines for UN procurement agencies.",COVAXIN,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Bharat Biotech,https://extranet.who.int/pqweb
International,WHO (Prequalification),Essential for vaccines purchased by UNICEF and other UN agencies.,COVOVAX,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Serum Institute of India,https://extranet.who.int/pqweb
International,WHO (Prequalification),WHO prequalification for global vaccine procurement.,Rotavac,Single Pathogen Vaccine,Rotavirus,Bharat Biotech,https://extranet.who.int/pqweb
United Kingdom,MHRA,"The UK's regulator of medicines, medical devices and blood components for transfusion.",Comirnaty,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Pfizer Inc.,https://www.mhra.gov.uk
United Kingdom,MHRA,UK medicines and healthcare products regulatory agency.,Vaxzevria,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),AstraZeneca,https://www.mhra.gov.uk
Canada,Health Canada,"The Biologics and Genetic Therapies Directorate reviews and authorizes vaccines for sale and use in Canada.",Comirnaty,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Pfizer Inc.,https://www.canada.ca/en/health-canada.html
Canada,Health Canada,Canadian regulatory authority for therapeutic products.,Spikevax,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Moderna Inc.,https://www.canada.ca/en/health-canada.html
Australia,TGA,"Australia's regulatory authority for therapeutic goods including prescription medicines, vaccines, and medical devices.",Comirnaty,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Pfizer Inc.,https://www.tga.gov.au
Australia,TGA,Therapeutic Goods Administration regulates medicines in Australia.,Vaxzevria,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),AstraZeneca,https://www.tga.gov.au
Japan,PMDA,"The Pharmaceuticals and Medical Devices Agency is the regulatory authority in Japan responsible for reviewing and approving vaccines.",Comirnaty,Single Pathogen Vaccine,SARS-CoV-2 (COVID-19),Pfizer Inc.,https://www.pmda.go.jp/english
